Conference,Score
Big Ten Conference,37.5
Atlantic Coast Conference,35.8
Southeastern Conference,35.7
Big 12 Conference,33.5
Independent,32.8
Pac-12 Conference,29.7
American Athletic Conference,26.4
Mountain West Conference,22.0
Mid-American Conference,20.4
Conference USA,16.5
Sun Belt Conference,13.5
FCS,1.4
