Division,Score
Big Ten Conference - East,43.7
Southeastern Conference - West,42.2
Atlantic Coast Conference - Atlantic,38.3
Big Ten Conference - West,37.7
Pac-12 Conference - North,36.2
Pac-12 Conference - South,36.1
Big 12 Conference,36.1
American Athletic Conference - West,35.3
Southeastern Conference - East,33.9
Atlantic Coast Conference - Coastal,32.2
Independent,27.0
Mid-American Conference - West,26.8
Mountain West Conference - Mountain,26.3
Conference USA - West,21.9
American Athletic Conference - East,21.7
Mountain West Conference - West,20.8
Sun Belt Conference,17.3
Conference USA - East,15.5
Mid-American Conference - East,15.2
FCS,1.8
