Division,Score
Southeastern Conference - West,42.5
Big Ten Conference - East,41.8
Atlantic Coast Conference - Atlantic,38.4
Big 12 Conference,34.4
Big Ten Conference - West,34.2
Independent,33.6
Atlantic Coast Conference - Coastal,32.5
Pac-12 Conference - North,31.6
Pac-12 Conference - South,29.2
American Athletic Conference - West,29.2
Southeastern Conference - East,29.2
Mountain West Conference - Mountain,25.4
American Athletic Conference - East,25.1
Mid-American Conference - West,24.0
Mountain West Conference - West,19.2
Conference USA - East,18.2
Mid-American Conference - East,17.8
Conference USA - West,16.6
Sun Belt Conference,13.8
FCS,1.6
