Conference,Score
Big Ten Conference,35.3
Atlantic Coast Conference,34.0
Southeastern Conference,33.2
Big 12 Conference,32.5
Pac-12 Conference,30.6
American Athletic Conference,25.9
Independent,24.5
Mountain West Conference,20.9
Mid-American Conference,16.6
Conference USA,15.2
Sun Belt Conference,12.4
FCS,1.1
