Division,Score
Big Ten Conference - East,39.3
Atlantic Coast Conference - Atlantic,38.2
Southeastern Conference - West,38.1
Big Ten Conference - West,32.7
Independent,31.2
Big 12 Conference,31.0
Atlantic Coast Conference - Coastal,28.7
Pac-12 Conference - North,28.2
Southeastern Conference - East,27.3
Pac-12 Conference - South,25.7
American Athletic Conference - West,25.4
American Athletic Conference - East,23.7
Mountain West Conference - Mountain,22.4
Mid-American Conference - West,20.5
Mountain West Conference - West,17.7
Conference USA - East,17.0
Conference USA - West,14.9
Mid-American Conference - East,14.8
Sun Belt Conference,13.3
FCS,1.0
