Conference,Score
Big Ten Conference,36.5
Atlantic Coast Conference,34.0
Southeastern Conference,32.8
Big 12 Conference,31.4
Independent,31.0
Pac-12 Conference,27.0
American Athletic Conference,24.3
Mountain West Conference,20.1
Mid-American Conference,17.7
Conference USA,16.0
Sun Belt Conference,13.3
FCS,1.0
