Division,Score
Southeastern Conference - West,38.7
Big Ten Conference - East,38.5
Atlantic Coast Conference - Atlantic,34.9
Big Ten Conference - West,32.6
Big 12 Conference,32.2
Pac-12 Conference - North,32.2
Atlantic Coast Conference - Coastal,31.6
American Athletic Conference - West,31.1
Pac-12 Conference - South,30.4
Southeastern Conference - East,28.5
Independent,23.6
Mountain West Conference - Mountain,22.4
American Athletic Conference - East,20.4
Mid-American Conference - West,19.9
Conference USA - West,18.0
Mountain West Conference - West,17.6
Mid-American Conference - East,13.8
Conference USA - East,12.7
Sun Belt Conference,12.4
FCS,1.1
