Division,Score
Big Ten Conference - East,40.8
Southeastern Conference - West,38.2
Atlantic Coast Conference - Atlantic,35.0
Big 12 Conference,32.4
Independent,30.2
Big Ten Conference - West,30.0
Pac-12 Conference - North,29.5
Atlantic Coast Conference - Coastal,29.0
American Athletic Conference - West,28.1
Southeastern Conference - East,27.7
Pac-12 Conference - South,26.8
Mountain West Conference - Mountain,24.1
Mid-American Conference - West,21.6
American Athletic Conference - East,21.2
Mountain West Conference - West,17.2
Conference USA - East,14.9
Conference USA - West,14.8
Mid-American Conference - East,14.1
Sun Belt Conference,11.3
FCS,0.9
