Division,Score
Southeastern Conference - West,32.6
Atlantic Coast Conference - Atlantic,29.3
Big Ten Conference - East,27.9
Atlantic Coast Conference - Coastal,26.5
Pac-12 Conference - North,26.0
Mountain West Conference - Mountain,25.4
American Athletic Conference - West,25.2
Pac-12 Conference - South,24.7
Southeastern Conference - East,23.8
Big 12 Conference,23.6
Independent,23.1
Big Ten Conference - West,23.1
American Athletic Conference - East,20.8
Mid-American Conference - West,20.6
Conference USA - East,15.5
Sun Belt Conference,15.1
Conference USA - West,14.2
Mountain West Conference - West,13.3
Mid-American Conference - East,12.3
FCS,5.8
