Division,Score
Southeastern Conference - West,40.8
Big Ten Conference - East,38.0
Atlantic Coast Conference - Atlantic,35.4
American Athletic Conference - West,33.7
Big Ten Conference - West,32.8
Southeastern Conference - East,32.8
Pac-12 Conference - South,32.4
Big 12 Conference,31.7
Pac-12 Conference - North,31.6
Atlantic Coast Conference - Coastal,28.2
Mountain West Conference - Mountain,28.1
Independent,26.7
Mid-American Conference - West,24.2
Conference USA - West,19.5
Mountain West Conference - West,19.3
American Athletic Conference - East,18.0
Mid-American Conference - East,15.2
Sun Belt Conference,15.2
Conference USA - East,14.5
FCS,1.4
