Division,Score
Big Ten Conference - East,39.7
Atlantic Coast Conference - Atlantic,38.8
Southeastern Conference - West,37.8
Big Ten Conference - West,32.5
Big 12 Conference,31.4
Pac-12 Conference - North,30.3
Independent,30.2
Atlantic Coast Conference - Coastal,29.5
Southeastern Conference - East,27.4
Pac-12 Conference - South,26.8
American Athletic Conference - West,26.1
Mid-American Conference - West,23.3
American Athletic Conference - East,22.7
Mountain West Conference - Mountain,22.4
Mountain West Conference - West,18.1
Conference USA - East,16.3
Mid-American Conference - East,15.3
Conference USA - West,15.1
Sun Belt Conference,12.0
FCS,1.0
