Division,Score
Big Ten Conference - East,40.1
Atlantic Coast Conference - Atlantic,39.1
Southeastern Conference - West,38.3
Big Ten Conference - West,32.9
Big 12 Conference,31.4
Independent,31.0
Atlantic Coast Conference - Coastal,28.9
Pac-12 Conference - North,28.3
Southeastern Conference - East,27.3
Pac-12 Conference - South,25.8
American Athletic Conference - West,25.4
American Athletic Conference - East,23.2
Mountain West Conference - Mountain,22.4
Mid-American Conference - West,20.6
Mountain West Conference - West,17.7
Conference USA - East,17.0
Mid-American Conference - East,14.9
Conference USA - West,14.9
Sun Belt Conference,13.3
FCS,1.0
