Conference,Score
Southeastern Conference,28.2
Atlantic Coast Conference,27.9
Big Ten Conference,25.5
Pac-12 Conference,24.9
Independent,24.2
Big 12 Conference,23.6
American Athletic Conference,22.5
Mountain West Conference,18.5
Mid-American Conference,16.4
Conference USA,15.3
Sun Belt Conference,15.1
FCS,1.1
