Division,Score
Big Ten Conference - East,39.6
Atlantic Coast Conference - Atlantic,38.9
Southeastern Conference - West,38.1
Big Ten Conference - West,32.4
Big 12 Conference,30.9
Independent,30.8
Atlantic Coast Conference - Coastal,29.5
Pac-12 Conference - North,29.5
Southeastern Conference - East,27.7
Pac-12 Conference - South,26.5
American Athletic Conference - West,24.8
American Athletic Conference - East,23.0
Mountain West Conference - Mountain,22.8
Mid-American Conference - West,21.2
Mountain West Conference - West,17.8
Conference USA - East,16.9
Conference USA - West,15.1
Mid-American Conference - East,15.0
Sun Belt Conference,13.0
FCS,1.0
