Division,Score
Big Ten Conference - East,39.8
Southeastern Conference - West,37.1
Atlantic Coast Conference - Atlantic,34.4
Big 12 Conference,31.2
Atlantic Coast Conference - Coastal,28.6
Big Ten Conference - West,28.3
Pac-12 Conference - North,28.3
Independent,27.2
American Athletic Conference - West,26.1
Southeastern Conference - East,25.9
Pac-12 Conference - South,25.1
Mountain West Conference - Mountain,22.6
American Athletic Conference - East,21.8
Mid-American Conference - West,19.6
Mountain West Conference - West,16.8
Conference USA - West,14.0
Conference USA - East,13.5
Mid-American Conference - East,12.9
Sun Belt Conference,10.4
FCS,0.7
