Conference,Score
Southeastern Conference,36.8
Big Ten Conference,35.4
Pac-12 Conference,32.0
Atlantic Coast Conference,31.8
Big 12 Conference,31.7
Independent,26.7
American Athletic Conference,25.9
Mountain West Conference,23.7
Mid-American Conference,19.7
Conference USA,17.0
Sun Belt Conference,15.2
FCS,1.4
