Division,Score
Southeastern Conference - West,42.3
Big Ten Conference - East,41.1
Atlantic Coast Conference - Atlantic,39.1
Big Ten Conference - West,33.9
Big 12 Conference,33.5
Independent,32.8
Atlantic Coast Conference - Coastal,32.6
Pac-12 Conference - North,31.4
Southeastern Conference - East,29.1
American Athletic Conference - West,28.3
Pac-12 Conference - South,27.9
Mountain West Conference - Mountain,25.0
American Athletic Conference - East,24.5
Mid-American Conference - West,24.2
Mountain West Conference - West,19.0
Conference USA - East,16.7
Mid-American Conference - East,16.5
Conference USA - West,16.3
Sun Belt Conference,13.5
FCS,1.4
