Conference,Score
Big Ten Conference,36.2
Atlantic Coast Conference,34.1
Southeastern Conference,33.4
Big 12 Conference,32.0
Independent,30.3
Pac-12 Conference,28.8
American Athletic Conference,24.7
Mountain West Conference,20.3
Mid-American Conference,18.8
Conference USA,15.2
Sun Belt Conference,12.4
FCS,1.0
