Division,Score
Southeastern Conference - West,45.4
Big Ten Conference - East,39.1
Atlantic Coast Conference - Atlantic,36.3
Pac-12 Conference - South,35.2
Independent,34.7
Pac-12 Conference - North,34.5
Southeastern Conference - East,33.8
American Athletic Conference - West,33.3
Big Ten Conference - West,32.6
Atlantic Coast Conference - Coastal,32.0
Mountain West Conference - Mountain,31.5
Big 12 Conference,31.0
Conference USA - West,24.5
Mid-American Conference - West,24.2
Mountain West Conference - West,22.8
American Athletic Conference - East,20.8
Sun Belt Conference,18.1
Conference USA - East,17.0
Mid-American Conference - East,16.8
FCS,2.1
