Conference,Score
Big Ten Conference,36.0
Atlantic Coast Conference,33.5
Southeastern Conference,32.7
Independent,31.2
Big 12 Conference,31.0
Pac-12 Conference,27.0
American Athletic Conference,24.5
Mountain West Conference,20.0
Mid-American Conference,17.7
Conference USA,16.0
Sun Belt Conference,13.3
FCS,1.0
