Division,Score
Big Ten Conference - East,40.7
Southeastern Conference - West,38.8
Atlantic Coast Conference - Atlantic,34.9
Big 12 Conference,31.5
Pac-12 Conference - North,30.7
Atlantic Coast Conference - Coastal,29.8
American Athletic Conference - West,29.1
Big Ten Conference - West,28.5
Pac-12 Conference - South,28.4
Southeastern Conference - East,27.2
Independent,26.1
Mountain West Conference - Mountain,23.8
American Athletic Conference - East,20.1
Mid-American Conference - West,19.8
Mountain West Conference - West,17.8
Conference USA - West,17.1
Conference USA - East,13.3
Mid-American Conference - East,12.9
Sun Belt Conference,12.7
FCS,1.0
