Conference,Score
Big Ten Conference,36.1
Atlantic Coast Conference,34.2
Southeastern Conference,32.6
Big 12 Conference,31.4
Independent,29.9
Pac-12 Conference,28.5
American Athletic Conference,24.6
Mountain West Conference,20.3
Mid-American Conference,19.3
Conference USA,15.7
Sun Belt Conference,12.0
FCS,1.0
