Division,Score
Southeastern Conference - West,39.4
Big Ten Conference - East,39.3
Atlantic Coast Conference - Atlantic,38.1
Big Ten Conference - West,33.2
Big 12 Conference,32.0
Pac-12 Conference - North,30.8
Independent,30.3
Atlantic Coast Conference - Coastal,30.0
Southeastern Conference - East,27.4
American Athletic Conference - West,26.8
Pac-12 Conference - South,26.7
American Athletic Conference - East,22.6
Mid-American Conference - West,22.5
Mountain West Conference - Mountain,22.2
Mountain West Conference - West,18.3
Conference USA - West,15.3
Mid-American Conference - East,15.2
Conference USA - East,15.1
Sun Belt Conference,12.4
FCS,1.0
