Division,Score
Big Ten Conference - East,40.3
Southeastern Conference - West,38.6
Atlantic Coast Conference - Atlantic,36.1
Pac-12 Conference - North,32.9
Big 12 Conference,32.5
Atlantic Coast Conference - Coastal,31.8
American Athletic Conference - West,30.9
Big Ten Conference - West,30.3
Pac-12 Conference - South,28.3
Southeastern Conference - East,27.8
Independent,24.5
Mountain West Conference - Mountain,23.8
American Athletic Conference - East,20.8
Mid-American Conference - West,19.4
Mountain West Conference - West,18.0
Conference USA - West,17.8
Mid-American Conference - East,13.9
Conference USA - East,12.7
Sun Belt Conference,12.4
FCS,1.1
