Conference,Score
Big Ten Conference,35.5
Southeastern Conference,33.6
Atlantic Coast Conference,33.3
Big 12 Conference,32.2
Pac-12 Conference,31.3
American Athletic Conference,25.7
Independent,23.6
Mountain West Conference,20.0
Mid-American Conference,16.8
Conference USA,15.4
Sun Belt Conference,12.4
FCS,1.1
