Division,Score
Southeastern Conference - West,32.6
Atlantic Coast Conference - Atlantic,29.3
Big Ten Conference - East,27.9
Atlantic Coast Conference - Coastal,26.5
American Athletic Conference - West,25.2
Pac-12 Conference - North,25.2
Pac-12 Conference - South,24.7
Independent,24.2
Mountain West Conference - Mountain,23.8
Southeastern Conference - East,23.8
Big 12 Conference,23.6
Big Ten Conference - West,23.1
Mid-American Conference - West,20.6
American Athletic Conference - East,19.7
Conference USA - East,15.5
Conference USA - West,15.1
Sun Belt Conference,15.1
Mountain West Conference - West,13.3
Mid-American Conference - East,12.3
FCS,1.1
