Division,Score
Big Ten Conference - East,39.9
Atlantic Coast Conference - Atlantic,39.0
Southeastern Conference - West,38.0
Big Ten Conference - West,32.5
Big 12 Conference,31.5
Independent,30.3
Atlantic Coast Conference - Coastal,29.7
Pac-12 Conference - North,29.6
Southeastern Conference - East,27.6
Pac-12 Conference - South,26.6
American Athletic Conference - West,26.2
Mid-American Conference - West,23.4
American Athletic Conference - East,22.8
Mountain West Conference - Mountain,22.4
Mountain West Conference - West,18.2
Conference USA - East,16.9
Mid-American Conference - East,15.5
Conference USA - West,14.8
Sun Belt Conference,12.4
FCS,1.0
