Division,Score
Big Ten Conference - East,41.1
Southeastern Conference - West,40.0
Atlantic Coast Conference - Atlantic,36.8
Independent,34.1
Big 12 Conference,33.8
Big Ten Conference - West,33.6
Pac-12 Conference - North,31.1
Atlantic Coast Conference - Coastal,30.8
Southeastern Conference - East,29.5
Pac-12 Conference - South,28.5
American Athletic Conference - West,28.4
Mountain West Conference - Mountain,25.1
American Athletic Conference - East,24.5
Mid-American Conference - West,23.8
Mountain West Conference - West,18.9
Conference USA - East,17.2
Mid-American Conference - East,16.1
Conference USA - West,16.1
Sun Belt Conference,13.2
FCS,1.4
