Division,Score
Big Ten Conference - East,42.1
Southeastern Conference - West,39.7
Atlantic Coast Conference - Atlantic,36.8
Pac-12 Conference - North,34.6
American Athletic Conference - West,34.1
Big 12 Conference,33.3
Atlantic Coast Conference - Coastal,32.6
Big Ten Conference - West,31.2
Pac-12 Conference - South,30.0
Southeastern Conference - East,29.8
Independent,27.7
Mountain West Conference - Mountain,25.5
American Athletic Conference - East,22.0
Mid-American Conference - West,21.4
Mountain West Conference - West,19.6
Conference USA - West,18.4
Conference USA - East,14.2
Mid-American Conference - East,14.2
Sun Belt Conference,14.0
FCS,1.4
